Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID
Tedros Adhanom Ghebreyesus	013	Make optimistic comment	Joe Biden and Kamala Harris	bce336f390b8a7f3e06a7105ed36f86a	[12:45:46]	12968
French President Emmanuel Macron	014	Consider policy option	Israeli Prime Minister Binyamin Netanyahu	4b16f4eb280ef97c0243521b7a665238	[1:0:4]	12980
Hezbollah	010	Make public statement	Lebanon	7fc5c7602123343678ff5f5f6389af0b	[0:0:0]	12991
Hezbollah	013	Make optimistic comment	Lebanon	7fc5c7602123343678ff5f5f6389af0b	[2:3:7]	12993
Hezbollah	013	Make optimistic comment	Lebanon	7fc5c7602123343678ff5f5f6389af0b	[3:8:11]	12994
Italian Prime Minister Renzi	0311	Express intent to cooperate economically	G8 restoration	92e0037a6be441a4b2f2e16431574600	[5:16:18]	12999
Binyamin Netanyahu	019	Express accord	Palestinian capital location in Abu Dis	146f5cddedcd15c7c4eb324d6ea3be26	[0:0:0]	13002
Benjamin Netanyahu	012	Make pessimistic comment	Syrian government	74cf8600f4042aba9cf9d4b857f1984a	[2:3:6]	13009
Iranian Foreign Ministry Spokesman Bahram Qassemi	013	Make optimistic comment	Taliban's control in Afghanistan	94c7a41b8ee54254e5f0e06664383d37	[2:6:8]	13010
Loyalty to the Resistance Bloc	016	Reject accusation, deny responsibility	Beneficiaries of sanctions	083e7d48345f7e54dfb8bbd3f3c984dc	[1:0:2]	13016
The United States	014	Consider policy option	Lebanon	083e7d48345f7e54dfb8bbd3f3c984dc	[5:14:16]	13019
Szymon Szynkowski vel Sek	016	Reject accusation, deny responsibility	Israel	f69ebbe199ca1a16e3a49b7aad7323d7	[3:7:10]	13022
Benjamin Netanyahu	015	Non-apologetically acknowledge or claim responsibility	public	f69ebbe199ca1a16e3a49b7aad7323d7	[4:11:13]	13023
Paris’ 1st District	017	Engage in symbolic act	Zarif	e3127b0e80f005d332c5dfa5fbf05fdb	[1:0:5]	13035
Paris District 1 municipality	017	Engage in symbolic act	Zarif	e3127b0e80f005d332c5dfa5fbf05fdb	[2:6:8]	13036
EU official Josep Borrell	014	Consider policy option	Hossein Amirabdollahian	3746e0528ed89f5bce15975ef6c5b77f	[1:0:5]	13041
Hossein Amirabdollahian	012	Make pessimistic comment	EU official Josep Borrell	3746e0528ed89f5bce15975ef6c5b77f	[1:0:5]	13042
Iran parliament	1622	Reduce or stop military assistance	2015 Joint Comprehensive Plan of Action	3746e0528ed89f5bce15975ef6c5b77f	[4:12:13]	13043
Hezbollah head Sayyed Hassan Nasrallah	012	Make pessimistic comment	Lebanese officials	46ad0c8b0e65658058d89540a5013cca	[1:0:2]	13045
President Hassan Rouhani	0243	Appeal for rights	Imran Khan	6e125c1f6e660ff3841e0b8479790401	[2:5:9]	13056
Hamas leader Haniya	019	Express accord	Jordan	e670c7ece6afa5c568ec029a52781fbc	[0:0:0]	13067
Ismail Haniyeh	019	Express accord	Jordan	e670c7ece6afa5c568ec029a52781fbc	[1:0:3]	13068
International Energy Agency	012	Make pessimistic comment	Global oil production deal	a00e01e54d340496cd2cdae4267ebb29	[1:0:2]	13076
Donald Trump	013	Make optimistic comment	Afghanistan	34d5a92d21fc764a551557704c9f44d7	[1:0:3]	13078
Trump	012	Make pessimistic comment	Afghanistan	34d5a92d21fc764a551557704c9f44d7	[3:9:12]	13079
Trump	013	Make optimistic comment	Islamic State	34d5a92d21fc764a551557704c9f44d7	[4:13:15]	13080
Prime Minister Boris Johnson	014	Consider policy option	Iran's nuclear program	bbb4a394833d69a78eb7235969d3b5b7	[3:7:9]	13087
Ali Zaidi	013	Make optimistic comment	Iran-Pakistan relations	faca1a4527e62c04eb75281ec597a10f	[2:5:7]	13090
Mushahid Hussain	012	Make pessimistic comment	Pakistan-Iran security dialogue	faca1a4527e62c04eb75281ec597a10f	[3:8:12]	13091
Farhatullah Babar	013	Make optimistic comment	Iran-Pakistan relations	faca1a4527e62c04eb75281ec597a10f	[4:13:16]	13092
Inamul Haque	014	Consider policy option	Pakistan-Iran trade	faca1a4527e62c04eb75281ec597a10f	[5:17:21]	13095
UN's human rights office	012	Make pessimistic comment	Khan al-Ahmar	fdf464cab876181139f73e182a6a861b	[1:0:3]	13097
Roseanne Barr	015	Non-apologetically acknowledge or claim responsibility	Valerie Jarrett	79bd5d639e4516a7db0fe75e8c9d8c57	[1:0:2]	13112
Roseanne Barr	018	Make empathetic comment	Valerie Jarrett	79bd5d639e4516a7db0fe75e8c9d8c57	[2:3:6]	13113
Roseanne Barr	015	Non-apologetically acknowledge or claim responsibility	Valerie Jarrett	79bd5d639e4516a7db0fe75e8c9d8c57	[3:7:10]	13114
Valerie Jarrett	018	Make empathetic comment	Roseanne Barr	79bd5d639e4516a7db0fe75e8c9d8c57	[4:11:13]	13115
US Secretary of State Mike Pompeo	1043	Demand rights	United Kingdom	9c51d386da58ff437300ec8062a895f1	[1:0:2]	13118
Prime Minister Boris Johnson	013	Make optimistic comment	EU departure	9c51d386da58ff437300ec8062a895f1	[2:3:6]	13119
EU Commission president Ursula von der Leyen	018	Make empathetic comment	United Kingdom	9c51d386da58ff437300ec8062a895f1	[6:21:22]	13122
Nasrallah	013	Make optimistic comment	Lebanon	0d773b96606badcc8837fdf89a5bd5dc	[3:7:9]	13123
Israel	010	Make public statement	Jewish State Law	571ee91ec8fd30c90e07e6667e8d11f2	[0:0:0]	13124
Prime Minister Boris Johnson	013	Make optimistic comment	Donald Trump	2b85ad6404bdebb5dc3a35e451a6f855	[1:0:3]	13130
Donald Trump	013	Make optimistic comment	Prime Minister Boris Johnson	2b85ad6404bdebb5dc3a35e451a6f855	[1:0:3]	13131
Supreme Leader Ayatollah Ali Khamenei	012	Make pessimistic comment	The United States	11a07c3a8acbabf5cee4577fa28a7e12	[4:8:12]	13135
Italian chief prosecutor Carmelo Zuccaro	010	Make public statement	Senate Defense Committee in Rome	f326f39458858bca9a2a5d9b00834dfe	[1:0:3]	13136
Houda Nonoo	018	Make empathetic comment	i24	331a35a6734004f44e7a94d3c24be03a	[2:3:6]	13139
Pierre Krahenbuhl	012	Make pessimistic comment	Associated Press	331a35a6734004f44e7a94d3c24be03a	[4:10:12]	13141
Khalid bin Ahmed Al Khalifa	019	Express accord	Israel	331a35a6734004f44e7a94d3c24be03a	[4:10:12]	13142
Saudi government	1056	Demand de-escalation of military engagement	Houthis	12994dbc14ebf0723e4a1e6f300ceb5a	[2:2:4]	13143
Recep Tayyip Erdogan	016	Reject accusation, deny responsibility	Egyptian government	a135c9c28cba3da3a6b091f2f49b8b61	[1:0:2]	13145
Benjamin Netanyahu	013	Make optimistic comment	government size	1a764bdc26c277a93547e5210de1f6ca	[5:19:21]	13150
Mohamed Ali al-Houthi	013	Make optimistic comment	Saudi-led coalition	448a47e028b76628708857b62cd4da70	[1:0:2]	13152
Khawaja Muhammad Asif	0311	Express intent to cooperate economically	The United States	d46263f905842634b24933243a24ec16	[1:0:4]	13159
Khawaja Muhammad Asif	016	Reject accusation, deny responsibility	The United States	d46263f905842634b24933243a24ec16	[2:5:8]	13160
Khawaja Muhammad Asif	013	Make optimistic comment	The United States	d46263f905842634b24933243a24ec16	[3:9:11]	13161
Hezbollah head Sayyed Hassan Nasrallah	019	Express accord	Lebanon	e7cff98ec2096b846bf15f02d87167d9	[1:0:3]	13163
Hezbollah	019	Express accord	Lebanon	2317928cccd0dadb48a7ea9939ba83f7	[0:0:0]	13165
Hezbollah	019	Express accord	Lebanon	2317928cccd0dadb48a7ea9939ba83f7	[1:0:32]	13166
Sherif Ismail	013	Make optimistic comment	entities supporting terrorism	393837a9eb156af1a62c89ac1aaedb18	[5:16:17]	13168
Former US President Donald Trump	014	Consider policy option	Pakistan	819f0d10ccb600c405cbd12b139f4f3c	[1:0:2]	13170
Yossi Cohen	013	Make optimistic comment	Arab states	55b24d6fc8784d4a3a8795067db0313a	[1:0:2]	13174
International Committee of the Red Cross	013	Make optimistic comment	Armenia	d46a0939398e8fa8f9ca0dd8df7fc4b1	[1:0:3]	13181
International Committee of the Red Cross	013	Make optimistic comment	Azerbaijan	d46a0939398e8fa8f9ca0dd8df7fc4b1	[1:0:3]	13182
Binyamin Netanyahu	013	Make optimistic comment	Jewish communities in Judea/Samaria and the Jordan Valley	ecef69508dc97e5f88023278c8892f17	[1:0:2]	13196
Paraguay	016	Reject accusation, deny responsibility	Israel	5019f766c33f08a7595efff8f0402b0a	[2:4:10]	13200
Egyptian army	015	Non-apologetically acknowledge or claim responsibility	General Public	abfdf907587c5275a3cdc90894313d2a	[2:2:5]	13202
Jordan	019	Express accord	Palestine	77fc47f962b601964cd1f84ae5849c55	[0:0:0]	13208
President Rivlin	010	Make public statement	Peace Conference Attendees	2efa8046ebc344932ea82981ad532be3	[0:0:0]	13212
Zehava Galon	0332	Express intent to provide military aid	Lawmaker Bezalel Smotrich	2efa8046ebc344932ea82981ad532be3	[2:3:4]	13213
Ministry of Foreign Affairs	014	Consider policy option	UN Security Council	c38819b456fc9f7412d1ba271c92c213	[2:4:6]	13216
Egyptian authorities	015	Non-apologetically acknowledge or claim responsibility	IAMCR	f916702d6523a6dc6698782af2a4c2f5	[1:0:2]	13225
Ayatollah Ali Khamenei	013	Make optimistic comment	Tehran	74d39a5b8c782f582e89e04fa2dbb351	[1:0:2]	13229
Black Flag protest movement	1041	Demand leadership change	Israeli authorities	734eb28156e8f4f13d8dd18a989768a7	[3:7:9]	13230
Qureshi	018	Make empathetic comment	business opportunities in Pakistan	e99c9e6f2fc9d65d5c5fcb5090491969	[1:0:2]	13236
Arab Tawhid Party leader Wiam Wahhab	013	Make optimistic comment	Lebanon	042fa0c44e0342834d4c8f318f06b3ca	[2:4:5]	13237
Moscow	013	Make optimistic comment	Terrorist groups	fff8e43699efd5a617be0568114fb184	[1:0:2]	13238
Ethiopia	010	Make public statement	Grand Ethiopia Renaissance Dam	fb74b018e4c54709ae2a75a026ce4f05	[0:0:0]	13240
Ethiopia	012	Make pessimistic comment	Grand Ethiopia Renaissance Dam	fb74b018e4c54709ae2a75a026ce4f05	[1:0:4]	13241
US Special Representative for Venezuela Elliott Abrams	012	Make pessimistic comment	Juan Guaido	a9a4956ccb7b7ea3976b1811a579795d	[2:6:8]	13250
EU Foreign Affairs Chief Federica Mogherini	012	Make pessimistic comment	Juan Guaido	a9a4956ccb7b7ea3976b1811a579795d	[2:6:8]	13251
Nicolas Maduro	016	Reject accusation, deny responsibility	The United States	a9a4956ccb7b7ea3976b1811a579795d	[3:9:11]	13253
Russia	012	Make pessimistic comment	Central Asia	1dcb4a946cdc1f1a28b588fa65fc515e	[14:43:44]	13260
Iran’s U.N. ambassador Javad Zarif	016	Reject accusation, deny responsibility	The International Atomic Energy Agency	500da07ce8dfcfa11c9e986ec1a22c29	[1:0:1]	13270
Joe Lieberman	012	Make pessimistic comment	Ocasio-Cortez	813dd75e9b62b62250ef43accfd66683	[7:24:27]	13276
De Mistura	015	Non-apologetically acknowledge or claim responsibility	Assad's opponents	36fdc1d065fec89c7841611c33486741	[2:3:7]	13277
Palestinian	017	Engage in symbolic act	Eurovision	334801ee404017523f7dee07091d96fc	[0:0:0]	13281
Palestinian groups	017	Engage in symbolic act	Israel	334801ee404017523f7dee07091d96fc	[1:0:4]	13282
Roger Waters	018	Make empathetic comment	Madonna	334801ee404017523f7dee07091d96fc	[2:5:6]	13283
Ahmed Bilal Othman	019	Express accord	Egyptian-Sudanese relations	99082bc3869ed238aa97c59b714ee831	[0:0:0]	13289
Ahmed Bilal Othman	019	Express accord	Egyptian-Sudanese relations	99082bc3869ed238aa97c59b714ee831	[1:0:3]	13290
Abdel Fattah Al-Sisi	019	Express accord	Egyptian-Sudanese relations	99082bc3869ed238aa97c59b714ee831	[2:4:7]	13291
Iranian Navy	1125	Accuse of espionage, treason	Oman	4ff2f2badacef51439b02df06a6a2cf3	[3:6:9]	13297
Hamas spokesman Mushir Al Masri	013	Make optimistic comment	Israel	415ec7771c145fbd85a27f9df08aa3b4	[5:18:21]	13300
Non-Mergable Entities	015	Non-apologetically acknowledge or claim responsibility	Bennett	56ef94849dc88e8a3f68b532af19eeaf	[2:5:8]	13318
Hamas leader Haniya	013	Make optimistic comment	Israel	534fec2f68026d03badc86268024405e	[2:4:7]	13319
Israeli journalist	010	Make public statement	Calcalist business daily	8518fbace17d2a020073bc6b1bc9cde2	[1:0:3]	13320
Tomer Ganon	010	Make public statement	his sources	8518fbace17d2a020073bc6b1bc9cde2	[1:0:3]	13321
Ibrahim bin Abdulaziz Al-Assaf	016	Reject accusation, deny responsibility	Iran-backed	9ca301bdb6822185a14b4f9ad977f780	[1:0:1]	13330
U.S. President Donald Trump	013	Make optimistic comment	Israel	d98dc5a3939a5de08e71de2a65275bc0	[0:0:0]	13334
IRGC Navy commander Rear Admiral Alireza Tangsiri	013	Make optimistic comment	Gathering of Basij students	503146e82d232a7fb1c2372b3c200a5e	[1:0:3]	13336
IRGC Naval Forces	012	Make pessimistic comment	American Military Forces	503146e82d232a7fb1c2372b3c200a5e	[4:12:14]	13337
House Foreign Affairs Committee	013	Make optimistic comment	2015 Joint Comprehensive Plan of Action	408e4c7ad10734a3821c27bf0a66dfa4	[2:4:7]	13338
Congressional Republicans	014	Consider policy option	US Biden administration	408e4c7ad10734a3821c27bf0a66dfa4	[3:8:9]	13339
State Department	014	Consider policy option	2015 Joint Comprehensive Plan of Action	408e4c7ad10734a3821c27bf0a66dfa4	[6:16:18]	13340
Prof. Galia Rahav	013	Make optimistic comment	Iran – Saudi conflict	4263b9245e4568caba980fbc185eeba0	[1:0:0]	13347
Sajjad Bokhari	0242	Appeal for policy change	Pakistan	4263b9245e4568caba980fbc185eeba0	[1:0:0]	13349
Khalid bin Ahmed Al Khalifa	019	Express accord	Israel	a205593bc6cc7fe4bd99af2e2eac4e44	[2:3:4]	13350
European Council President Donald Tusk	010	Make public statement	Donald Trump	442bd773a2dd05f85cf77f19999b719e	[0:0:0]	13351
U.S. Congress	012	Make pessimistic comment	United States support for the Yemen war	6438aaf25bdf9f3b439249d7e988d184	[1:0:1]	13353
Ali Bagheri Kani	013	Make optimistic comment	World powers	f5bfc38a0e6e559659db300079e7d294	[2:4:8]	13357
Yoav Kisch	010	Make public statement	Israel	eecd587b8fd5892e46e2a7263c80457e	[2:5:8]	13361
Sharon Alroy-Preis	012	Make pessimistic comment	Israel	eecd587b8fd5892e46e2a7263c80457e	[4:13:18]	13362
Chezy Levy	013	Make optimistic comment	Israel	eecd587b8fd5892e46e2a7263c80457e	[5:19:23]	13363
Riyad al-Malki	015	Non-apologetically acknowledge or claim responsibility	P.A. TV	95b94a9c7cc50495682cb93822e99845	[1:0:3]	13364
Ilham Aliyev	013	Make optimistic comment	Armenia	11680d7377cfc6d711d2cd1a2ad2b675	[1:0:4]	13372
French President Emmanuel Macron	010	Make public statement	Armenia	11680d7377cfc6d711d2cd1a2ad2b675	[2:5:8]	13373
French President Emmanuel Macron	010	Make public statement	Azerbaijan	11680d7377cfc6d711d2cd1a2ad2b675	[2:5:8]	13374
Russian Prime Minister Mikhail Mishustin	013	Make optimistic comment	Armenia	11680d7377cfc6d711d2cd1a2ad2b675	[4:13:17]	13375
Russian Prime Minister Mikhail Mishustin	013	Make optimistic comment	Azerbaijan	11680d7377cfc6d711d2cd1a2ad2b675	[4:13:17]	13376
Artak Beglaryan	018	Make empathetic comment	Azerbaijan	11680d7377cfc6d711d2cd1a2ad2b675	[5:18:22]	13377
World leaders	016	Reject accusation, deny responsibility	Turkey	11680d7377cfc6d711d2cd1a2ad2b675	[6:23:25]	13378
World leaders	016	Reject accusation, deny responsibility	Azerbaijan	11680d7377cfc6d711d2cd1a2ad2b675	[6:23:25]	13379
International Court of Justice	010	Make public statement	Pakistan	9929d06b4661f0d7909a9f8d4fe52c71	[0:0:0]	13384
International Court of Justice	010	Make public statement	India	9929d06b4661f0d7909a9f8d4fe52c71	[0:0:0]	13385
Iran's OPEC governor Hossein Kazempour Ardebili	012	Make pessimistic comment	Russia	f1060bcd0c8bfd073959a642179e258c	[1:0:2]	13406
Ex-Houthi Official	010	Make public statement	Yemeni people	ad41964acd3480a53c07544c5a96be0a	[0:0:0]	13408
Abdelsalem Jaber	015	Non-apologetically acknowledge or claim responsibility	Houthi rebels	ad41964acd3480a53c07544c5a96be0a	[1:0:4]	13409
Cairo|Khartoum|Addis Ababa	013	Make optimistic comment	Cairo	3287008b05f4b7154104bf14becbe7c7	[3:7:10]	13410
Cairo|Khartoum|Addis Ababa	1412	Demonstrate or rally for policy change	Khartoum	3287008b05f4b7154104bf14becbe7c7	[3:7:10]	13411
EU High Representative and Vice-President Josep Borrell	1823	Kill by physical assault	Israel	78b7e347dbf5c5cdfc3d5d78c85fe0a3	[1:0:2]	13413
Egypt interior ministry	015	Non-apologetically acknowledge or claim responsibility	terrorist	204f0d8858d7ceb0ff9b346d6dc54ea5	[1:0:6]	13416
Abdel Fattah Al-Sisi	013	Make optimistic comment	development projects	4853c450b19938daf519084e7c8d2ecf	[0:0:0]	13426
Abdel Fattah Al-Sisi	013	Make optimistic comment	Lake Manzala	4853c450b19938daf519084e7c8d2ecf	[3:9:12]	13429
Abdel Fattah Al-Sisi	013	Make optimistic comment	Deeba Triangle project	4853c450b19938daf519084e7c8d2ecf	[3:9:12]	13430
Abdel Fattah Al-Sisi	013	Make optimistic comment	railway lines development	4853c450b19938daf519084e7c8d2ecf	[5:18:22]	13432
Abdel Fattah Al-Sisi	1432	Conduct strike or boycott for policy change	railway lines development	4853c450b19938daf519084e7c8d2ecf	[5:18:22]	13433
Mostafa Madbouly	013	Make optimistic comment	investments in electricity	4853c450b19938daf519084e7c8d2ecf	[7:29:33]	13438
Abdel Fattah Al-Sisi	019	Express accord	Abdel Fattah Al-Sisi	b6a310a5d5122b1cc39349e766780441	[0:0:0]	13441
Brig. Gen (ret.) Hossein Dehghan	016	Reject accusation, deny responsibility	U.S	de08cbb3b07d449073c190830f945db1	[1:0:1]	13450
Hossein Amirabdollahian	013	Make optimistic comment	Nuclear agreement	574c6fb7d12fce01745392ba9b8f9127	[5:13:16]	13458
Iran military	018	Make empathetic comment	Yemeni people	4a3697be90a353c632592761a0cf3f71	[1:0:5]	13459
Hezbollah	019	Express accord	National Patriotic Party	3088a790de6989951bcdbd83256ac5c1	[7:16:17]	13461
Abdel Fattah Al-Sisi	013	Make optimistic comment	African Constitutional Conference	ee03c92c2b89c49ce3730c81e254066c	[3:9:12]	13470
Ethiopia's Prime Minister Abiy Ahmed	010	Make public statement	unspecified actors	f263f198075a04e2c67a01f93baa8eb1	[1:0:2]	13474
Ethiopia's Prime Minister Abiy Ahmed	010	Make public statement	unspecified actors	f263f198075a04e2c67a01f93baa8eb1	[2:3:5]	13475
Sheikh Mohammed	013	Make optimistic comment	Regional peace and stability	679610d95b737a8fdd72c6d13958545a	[1:0:3]	13478
Sheikh Mohammed	013	Make optimistic comment	Emmanuel Macron	679610d95b737a8fdd72c6d13958545a	[2:4:5]	13479
Abu Obeida Al-Qassam Brigades	015	Non-apologetically acknowledge or claim responsibility	Israel	2aec6ad2a7d3125b60d80cfc50c2f060	[3:9:13]	13480
Abu Obeida	0333	Express intent to provide humanitarian aid	Israel	2aec6ad2a7d3125b60d80cfc50c2f060	[6:22:25]	13482
Britain	019	Express accord	Juan Guaido	6952b14210ec87aa921cd27f054157c2	[2:4:9]	13502
Germany	019	Express accord	Juan Guaido	6952b14210ec87aa921cd27f054157c2	[2:4:9]	13503
France	1223	Reject request for humanitarian aid	Juan Guaido	6952b14210ec87aa921cd27f054157c2	[2:4:9]	13504
Binyamin Netanyahu	013	Make optimistic comment	State of Israel	d1c329a46ff993ccbe0cfa99446ff814	[2:2:2]	13508
Sheikh Ali Damoush	012	Make pessimistic comment	The United States	b89867a35b113ea49d2badc7e62bcb4e	[2:3:7]	13519
Yemen foreign minister	010	Make public statement	Aden as main airport	c71ff2e889b34bf574e1d6668c6f28b3	[1:0:3]	13520
Hossam	017	Engage in symbolic act	Al-Aqsa	c041b5223e1fe398dd485960e0f3bff4	[5:17:21]	13525
Aharon Barak	0311	Express intent to cooperate economically	Attorney General Avichai Mendelblit	a7bfb3dcba900dcd685dadf1dd3da27c	[1:0:3]	13530
Attorney General Avichai Mendelblit	019	Express accord	Benjamin Netanyahu	a7bfb3dcba900dcd685dadf1dd3da27c	[5:16:18]	13531
Hezbollah Official Hashim	013	Make optimistic comment	Lebanon	8f2ddc35eef10387d64f3b91bd8bf480	[2:3:5]	13534
Israel	013	Make optimistic comment	International Community	84e8e2a3d6c4ebef7a1d98d4e33158ca	[4:10:11]	13537
Washington's UN envoy Nikki Haley	012	Make pessimistic comment	United Nations	609782f15aa5c423bdb311419227b4e0	[2:5:9]	13551
Sheikh Azzam Khatib	019	Express accord	Defence of Al Aqsa Mosque by Awqaf Department and Jerusalemites	1e663521c8aa78a6dbf9f2db174b98dd	[5:13:15]	13558
Abdel Fattah Al-Sisi	019	Express accord	Egypt's support	65c742d49027a0969dfd60e2a49e8224	[1:0:3]	13571
Abdel Fattah Al-Sisi	019	Express accord	Egypt's role	65c742d49027a0969dfd60e2a49e8224	[2:4:8]	13572
Yemeni army spokesman Yahya Saree	013	Make optimistic comment	Military force	83de20331698ec296b1bc34f816d8163	[3:8:11]	13580
The United States	010	Make public statement	India	9faaceef6a8acffcc50f0e6dca511406	[1:0:0]	13581
Abddalla Hamdok	1722	Ban political parties or politicians	Grand Ethiopia Renaissance Dam	e69b5c6974d9e20955f031ac9b3fdea4	[3:8:10]	13584
Cairo	010	Make public statement	Abbas	28ed347b5e5a40b7ea82ea44383728a8	[7:19:21]	13586
Nadi Al-Taya	016	Reject accusation, deny responsibility	Israel	316d993f5be7d35def4de2477d05e238	[1:0:2]	13589
Mohamed Baraka	012	Make pessimistic comment	Israeli authorities	316d993f5be7d35def4de2477d05e238	[2:3:6]	13590
Abdel-Baset Salama	016	Reject accusation, deny responsibility	city's plan	316d993f5be7d35def4de2477d05e238	[3:7:7]	13591
Germany	012	Make pessimistic comment	BDS movement	6f256a7804fe1695fd2df588d0dee2b7	[0:0:0]	13594
AfD party	015	Non-apologetically acknowledge or claim responsibility	BDS movement	6f256a7804fe1695fd2df588d0dee2b7	[4:9:11]	13595
Polish deputy foreign minister Szymon Szynkowski vel Sek	016	Reject accusation, deny responsibility	Israel	0dc05eea6b185c389cece1c9535e4f67	[1:0:2]	13597
President Marcelo Rebelo de Sousa	019	Express accord	Cairo	2df850f1df03083c2e534513a31b83c9	[2:4:9]	13607
Gilad Erdan	016	Reject accusation, deny responsibility	Joint (Arab) List	a40f5e9a104adb47267ced82c6876756	[2:3:6]	13609
Gilad Erdan	011	Refuse to comment	Incident of Umm al-Hiran	a40f5e9a104adb47267ced82c6876756	[5:14:16]	13611
Austria	010	Make public statement	Israel	339781885e8b157697314b29c373ea1a	[0:0:0]	13614
Alexander Schallenberg	012	Make pessimistic comment	annexation	339781885e8b157697314b29c373ea1a	[2:3:6]	13615
Zohair Mojahed	015	Non-apologetically acknowledge or claim responsibility	Fatemiyoun Division	84731b65507f4ae417b584d868ad0466	[3:4:6]	13621
Sibghatullah Ahmadi	017	Engage in symbolic act	Kabul	84731b65507f4ae417b584d868ad0466	[4:7:8]	13622
Donald Trump	013	Make optimistic comment	Afghanistan	c1cc4f0870035e0d7a8df8fd71e40ea4	[1:0:1]	13628
U.S. Secretary of State Rex Tillerson	014	Consider policy option	Afghanistan	c1cc4f0870035e0d7a8df8fd71e40ea4	[4:5:5]	13629
Donald Trump	0311	Express intent to cooperate economically	Pakistan	c1cc4f0870035e0d7a8df8fd71e40ea4	[5:6:7]	13630
Donald Trump	012	Make pessimistic comment	Pakistan	c1cc4f0870035e0d7a8df8fd71e40ea4	[6:8:8]	13631
Donald Trump	013	Make optimistic comment	India	c1cc4f0870035e0d7a8df8fd71e40ea4	[6:8:8]	13632
Ali Saremi	015	Non-apologetically acknowledge or claim responsibility	Khavaran Cemetery	74643d66c16665aaf2066582eeda8055	[3:6:10]	13633
Saudi-Led Coalition	015	Non-apologetically acknowledge or claim responsibility	ballistic missile originating from Yemen	1dab718f81ff4a059719a08cc7d54b93	[1:0:3]	13638
Brian Hook	013	Make optimistic comment	European companies	49aaa80fccc56f15f75d3cf635bdc4c1	[1:0:2]	13656
Greenblatt	013	Make optimistic comment	Jordan	77a7b66daab401ff28a03bfb5132cf76	[1:0:2]	13658
Greenblatt	013	Make optimistic comment	Israel	77a7b66daab401ff28a03bfb5132cf76	[1:0:2]	13659
Pakistan	013	Make optimistic comment	International Court of Justice	af2c9e868da5fcf2f65beab168008bdc	[1:0:1]	13665
Benjamin Netanyahu	013	Make optimistic comment	Maale Adumim settlement	106346c81e37a311e650d08f3a21a45f	[1:0:3]	13667
Binyamin Netanyahu	015	Non-apologetically acknowledge or claim responsibility	Iran's secret nuclear files	70d4a5345f9a22a28d540db491e1fa25	[3:4:5]	13670
Tehran	015	Non-apologetically acknowledge or claim responsibility	Seoul	939d6f6a623b0e1a26574112ac289df8	[1:0:3]	13674
Human Rights Watch	018	Make empathetic comment	Israeli military forces	407eca593eea1cf5e36aff82fd23a886	[3:7:11]	13675
Palestinian groups	012	Make pessimistic comment	Israeli prison	407eca593eea1cf5e36aff82fd23a886	[4:12:16]	13676
Israeli Prime Minister Naftali Bennett	012	Make pessimistic comment	Gilboa prison escape	407eca593eea1cf5e36aff82fd23a886	[5:17:20]	13677
Trump Administration	012	Make pessimistic comment	Assad regime	6af3e85072ab47d4b76ef397290ea7b3	[5:12:14]	13680
Sudan	1322	Threaten to ban political parties or politicians	GERD issue	57ad3ce23d9d5b1aa467e17defe6aa83	[2:3:5]	13684
Benjamin Netanyahu	010	Make public statement	reporters	9918131c5e92c81f3340d6272c8e5be3	[4:11:12]	13686
Health Ministry	014	Consider policy option	Israeli citizens	69a32b55913bb38ee9f2efa7584b4135	[1:0:5]	13688
Health Ministry	1122	Accuse of human rights abuses	Israeli public	69a32b55913bb38ee9f2efa7584b4135	[2:6:10]	13689
Dr. Basri Saleh	013	Make optimistic comment	State of Israel	69a32b55913bb38ee9f2efa7584b4135	[2:6:10]	13690
Iran environment head	010	Make public statement	detained	f16cda816e2321dd08fd073b5e0e2c22	[0:0:0]	13693
Lt Gen Joseph T Guastella	012	Make pessimistic comment	The Mitchell Institute for Aerospace Studies	d6b92e146cce84ff6a2c0e1ce2b1d51e	[2:4:5]	13698
Israeli military forces	2041	Use chemical, biological, or radiological weapons	Incident in Ramallah	6200cac29a77bd5c5b815ed6fe66f2f1	[1:0:5]	13699
Police	015	Non-apologetically acknowledge or claim responsibility	Bassel al-Aaraj	6200cac29a77bd5c5b815ed6fe66f2f1	[1:0:5]	13700
Maj. Gen. Benny Gantz	013	Make optimistic comment	Hezbollah fighters	e6d75e77624cc97d19c2355414d5f421	[6:18:21]	13715
Palestinian lawyer Munji Abdallah	016	Reject accusation, deny responsibility	Israel	0b29d08f12a1f988d4b69c9def10f528	[5:17:22]	13723
Prime Minister Boris Johnson	013	Make optimistic comment	President Hassan Rouhani	4094e506b4926847f55a4e5ddbf2f98b	[1:0:2]	13725
Pakistan	016	Reject accusation, deny responsibility	International Court of Justice	e4f39a9bb1c14c060f3c5fe487ec4782	[1:0:0]	13728
India	014	Consider policy option	Pakistan	e4f39a9bb1c14c060f3c5fe487ec4782	[1:0:0]	13729
Enrique Mora	014	Consider policy option	Vienna Talks	0ecede4af98d0554ef2911838a46fdcf	[2:4:7]	13731
Saeed Khatibzadeh	013	Make optimistic comment	2015 Iran nuclear deal members	0ecede4af98d0554ef2911838a46fdcf	[3:8:12]	13733
Bijan Zanganeh	014	Consider policy option	Iran-Turkmenistan	2365fc33f86c44edeeff769f3214a3be	[1:0:3]	13738
